section,season,tou_period,vintage_start,vintage_end,provider,authority,rate_per_kwh,comparison_rate_per_kwh,evidence,note
delivery,winter,super_off_peak,2024-11-01,2025-01-31,bundled+CCA,charged_tariff,0.04013,,direct,printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25
delivery,winter,super_off_peak,2025-02-01,2025-05-31,CCA,charged_tariff,0.02255,,direct,printed on 1/28/25 - 2/26/25; 2/27/25 - 3/27/25; 3/28/25 - 4/28/25; 4/29/25 - 5/28/25; 5/29/25 - 6/26/25
delivery,winter,super_off_peak,2025-06-01,2025-10-31,CCA,charged_tariff,,,absent,rate changed from 0.02255 to 0.02164 somewhere in this gap; no positive-kWh line dates the change
delivery,winter,super_off_peak,2025-11-01,2025-12-31,CCA,charged_tariff,0.02164,,direct,printed on 10/28/25 - 11/25/25; 11/26/25 - 12/26/25; 12/27/25 - 1/27/26
delivery,winter,super_off_peak,2026-01-01,2026-03-31,CCA,charged_tariff,0.02168,,direct,printed on 12/27/25 - 1/27/26; 1/28/26 - 2/26/26; 2/27/26 - 3/27/26; 3/28/26 - 4/28/26
delivery,winter,super_off_peak,2026-04-01,2026-05-31,CCA,charged_tariff,0.02606,,direct,printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26; 5/29/26 - 6/26/26
delivery,winter,super_off_peak,2026-06-01,2026-06-26,CCA,charged_tariff,,,absent,no positive-kWh line after 2026-05-31
generation,summer,off_peak,2024-05-25,2024-12-26,bundled,charged_tariff,,,absent,no positive-kWh line before 2026-06-01 (net-negative buckets print $0); this row is the bundled portion of the observed span 2024-05-25..2026-05-31
generation_printed_comparison,summer,off_peak,2024-12-27,2026-05-31,CCA,printed_comparison_only,,,absent,"no positive-kWh line before 2026-06-01 (net-negative buckets print $0); this row is the CCA portion of the observed span 2024-05-25..2026-05-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,off_peak,2026-06-01,2026-06-26,CCA,printed_comparison_only,,0.17311,direct,"printed on 5/29/26 - 6/26/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation,summer,on_peak,2024-05-25,2024-05-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-06-01 (net-negative buckets print $0)
generation,summer,on_peak,2024-06-01,2024-10-31,bundled,charged_tariff,0.38826,,direct,printed on 5/25/24 - 6/25/24; 6/26/24 - 7/25/24; 7/26/24 - 8/26/24; 8/27/24 - 9/25/24; 9/26/24 - 10/25/24; 10/26/24 - 11/25/24
generation,summer,on_peak,2024-11-01,2024-12-26,bundled,charged_tariff,,,absent,rate changed from 0.38826 to 0.40592 somewhere in this gap; no positive-kWh line dates the change; this row is the bundled portion of the observed span 2024-11-01..2025-05-31
generation_printed_comparison,summer,on_peak,2024-12-27,2025-05-31,CCA,printed_comparison_only,,,absent,"rate changed from 0.38826 to 0.40592 somewhere in this gap; no positive-kWh line dates the change; this row is the CCA portion of the observed span 2024-11-01..2025-05-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,on_peak,2025-06-01,2025-10-31,CCA,printed_comparison_only,,0.40592,direct,"printed on 5/29/25 - 6/26/25; 6/27/25 - 7/28/25; 7/29/25 - 8/26/25; 8/27/25 - 9/25/25; 9/26/25 - 9/30/25; 10/1/25 - 10/27/25; 10/28/25 - 11/25/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,on_peak,2025-11-01,2026-05-31,CCA,printed_comparison_only,,,absent,"rate changed from 0.40592 to 0.47019 somewhere in this gap; no positive-kWh line dates the change; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,on_peak,2026-06-01,2026-06-26,CCA,printed_comparison_only,,0.47019,direct,"printed on 5/29/26 - 6/26/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation,summer,super_off_peak,2024-05-25,2024-05-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-06-01 (net-negative buckets print $0)
generation,summer,super_off_peak,2024-06-01,2024-10-31,bundled,charged_tariff,0.06741,,direct,printed on 5/25/24 - 6/25/24; 6/26/24 - 7/25/24; 7/26/24 - 8/26/24; 8/27/24 - 9/25/24; 9/26/24 - 10/25/24; 10/26/24 - 11/25/24
generation,summer,super_off_peak,2024-11-01,2024-12-26,bundled,charged_tariff,,,absent,rate changed from 0.06741 to 0.07035 somewhere in this gap; no positive-kWh line dates the change; this row is the bundled portion of the observed span 2024-11-01..2025-05-31
generation_printed_comparison,summer,super_off_peak,2024-12-27,2025-05-31,CCA,printed_comparison_only,,,absent,"rate changed from 0.06741 to 0.07035 somewhere in this gap; no positive-kWh line dates the change; this row is the CCA portion of the observed span 2024-11-01..2025-05-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,super_off_peak,2025-06-01,2025-10-31,CCA,printed_comparison_only,,0.07035,direct,"printed on 5/29/25 - 6/26/25; 6/27/25 - 7/28/25; 7/29/25 - 8/26/25; 8/27/25 - 9/25/25; 9/26/25 - 9/30/25; 10/1/25 - 10/27/25; 10/28/25 - 11/25/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,super_off_peak,2025-11-01,2026-05-31,CCA,printed_comparison_only,,,absent,"rate changed from 0.07035 to 0.08147 somewhere in this gap; no positive-kWh line dates the change; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,summer,super_off_peak,2026-06-01,2026-06-26,CCA,printed_comparison_only,,0.08147,direct,"printed on 5/29/26 - 6/26/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation,winter,off_peak,2024-05-25,2024-12-26,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-12-27 (net-negative buckets print $0)
generation_printed_comparison,winter,off_peak,2024-12-27,2024-12-31,CCA,printed_comparison_only,,0.11850,direct,"printed on 12/27/24 - 1/27/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-01-01,2025-03-27,CCA,printed_comparison_only,,,absent,"rate changed from 0.11850 to 0.12379 somewhere in this gap; no positive-kWh line dates the change; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-03-28,2025-04-28,CCA,printed_comparison_only,,0.12379,direct,"printed on 3/28/25 - 4/28/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-04-29,2025-05-28,CCA,printed_comparison_only,,0.12379,carried,"net-negative gap; flanking observed rates equal at 0.12379; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-05-29,2025-05-31,CCA,printed_comparison_only,,0.12379,direct,"printed on 5/29/25 - 6/26/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-06-01,2025-12-26,CCA,printed_comparison_only,,0.12379,carried,"net-negative gap; flanking observed rates equal at 0.12379; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2025-12-27,2025-12-31,CCA,printed_comparison_only,,0.12379,direct,"printed on 12/27/25 - 1/27/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2026-01-01,2026-02-26,CCA,printed_comparison_only,,,absent,"rate changed from 0.12379 to 0.14354 somewhere in this gap; no positive-kWh line dates the change; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2026-02-27,2026-03-27,CCA,printed_comparison_only,,0.14354,direct,"printed on 2/27/26 - 3/27/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2026-03-28,2026-03-31,CCA,printed_comparison_only,,,absent,"rate changed from 0.14354 to 0.14337 somewhere in this gap; no positive-kWh line dates the change; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2026-04-01,2026-05-28,CCA,printed_comparison_only,,0.14337,direct,"printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,off_peak,2026-05-29,2026-06-26,CCA,printed_comparison_only,,,absent,"no positive-kWh line after 2026-05-28; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation,winter,on_peak,2024-05-25,2024-10-31,bundled,charged_tariff,,,absent,no positive-kWh line before 2024-11-01 (net-negative buckets print $0)
generation,winter,on_peak,2024-11-01,2024-12-26,bundled,charged_tariff,0.16516,,direct,printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25; this row is the bundled portion of the observed span 2024-11-01..2025-01-31
generation_printed_comparison,winter,on_peak,2024-12-27,2025-01-31,CCA,printed_comparison_only,,0.16516,direct,"printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25; this row is the CCA portion of the observed span 2024-11-01..2025-01-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2025-02-01,2025-05-31,CCA,printed_comparison_only,,0.17258,direct,"printed on 1/28/25 - 2/26/25; 2/27/25 - 3/27/25; 3/28/25 - 4/28/25; 4/29/25 - 5/28/25; 5/29/25 - 6/26/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2025-06-01,2025-10-31,CCA,printed_comparison_only,,0.17258,carried,"net-negative gap; flanking observed rates equal at 0.17258; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2025-11-01,2025-12-31,CCA,printed_comparison_only,,0.17258,direct,"printed on 10/28/25 - 11/25/25; 11/26/25 - 12/26/25; 12/27/25 - 1/27/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2026-01-01,2026-03-31,CCA,printed_comparison_only,,0.20013,direct,"printed on 12/27/25 - 1/27/26; 1/28/26 - 2/26/26; 2/27/26 - 3/27/26; 3/28/26 - 4/28/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2026-04-01,2026-05-31,CCA,printed_comparison_only,,0.19990,direct,"printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26; 5/29/26 - 6/26/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,on_peak,2026-06-01,2026-06-26,CCA,printed_comparison_only,,,absent,"no positive-kWh line after 2026-05-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation,winter,super_off_peak,2024-05-25,2024-05-31,bundled,charged_tariff,0.06133,,direct,printed on 5/25/24 - 6/25/24
generation,winter,super_off_peak,2024-06-01,2024-10-31,bundled,charged_tariff,0.06133,,carried,net-negative gap; flanking observed rates equal at 0.06133
generation,winter,super_off_peak,2024-11-01,2024-12-26,bundled,charged_tariff,0.06133,,direct,printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25; this row is the bundled portion of the observed span 2024-11-01..2025-01-31
generation_printed_comparison,winter,super_off_peak,2024-12-27,2025-01-31,CCA,printed_comparison_only,,0.06133,direct,"printed on 10/26/24 - 11/25/24; 11/26/24 - 12/26/24; 12/27/24 - 1/27/25; 1/28/25 - 2/26/25; this row is the CCA portion of the observed span 2024-11-01..2025-01-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2025-02-01,2025-05-31,CCA,printed_comparison_only,,0.06399,direct,"printed on 1/28/25 - 2/26/25; 2/27/25 - 3/27/25; 3/28/25 - 4/28/25; 4/29/25 - 5/28/25; 5/29/25 - 6/26/25; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2025-06-01,2025-10-31,CCA,printed_comparison_only,,0.06399,carried,"net-negative gap; flanking observed rates equal at 0.06399; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2025-11-01,2025-12-31,CCA,printed_comparison_only,,0.06399,direct,"printed on 10/28/25 - 11/25/25; 11/26/25 - 12/26/25; 12/27/25 - 1/27/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2026-01-01,2026-03-31,CCA,printed_comparison_only,,0.07419,direct,"printed on 12/27/25 - 1/27/26; 1/28/26 - 2/26/26; 2/27/26 - 3/27/26; 3/28/26 - 4/28/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2026-04-01,2026-05-31,CCA,printed_comparison_only,,0.07410,direct,"printed on 3/28/26 - 4/28/26; 4/29/26 - 5/28/26; 5/29/26 - 6/26/26; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
generation_printed_comparison,winter,super_off_peak,2026-06-01,2026-06-26,CCA,printed_comparison_only,,,absent,"no positive-kWh line after 2026-05-31; SDG&E's bundled-generation (EECC) COMPARISON printed beside a statement whose generation the CCA charged — NOT a tariff and NOT what was billed; the CCA's own per-TOU rates are in no committed artifact (RateSet.generation and RateSet.cca_generation both refuse here, and cca_generation_gap measures how far this printed table is from the charge actually billed)"
base_services_charge,,per_day,2024-05-25,2024-06-25,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
