statement_date,period,season,tou_period,kwh,rate_usd_per_kwh,usd,provider,authority,evidence,source_pdf,note
2025-04-02,2/27/25 - 3/27/25,,clean_impact_plus,459.0,0.00100,0.46,CCA,charged_tariff,direct,sdge_electric_2025-04-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-04-02,2/27/25 - 3/27/25,,state_surcharge_tax,,,0.14,CCA,charged_fee,direct,sdge_electric_2025-04-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-04-02,2/27/25 - 3/27/25,,total_printed,,,45.27,CCA,charged_total,direct,sdge_electric_2025-04-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($45.27) with a diff of $+0.00"
2025-05-02,3/28/25 - 4/28/25,winter,on_peak,61.0,0.24430,15.01,CCA,charged_tariff,direct,sdge_electric_2025-05-02.pdf,printed on 3/28/25 - 4/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-05-02,3/28/25 - 4/28/25,winter,off_peak,28.0,0.15782,4.50,CCA,charged_tariff,direct,sdge_electric_2025-05-02.pdf,printed on 3/28/25 - 4/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-05-02,3/28/25 - 4/28/25,winter,super_off_peak,328.0,0.05187,17.01,CCA,charged_tariff,direct,sdge_electric_2025-05-02.pdf,printed on 3/28/25 - 4/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-05-02,3/28/25 - 4/28/25,,clean_impact_plus,418.0,0.00100,0.42,CCA,charged_tariff,direct,sdge_electric_2025-05-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-05-02,3/28/25 - 4/28/25,,state_surcharge_tax,,,0.13,CCA,charged_fee,direct,sdge_electric_2025-05-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-05-02,3/28/25 - 4/28/25,,total_printed,,,37.07,CCA,charged_total,direct,sdge_electric_2025-05-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($37.07) with a diff of $+0.00"
2025-06-03,4/29/25 - 5/28/25,winter,on_peak,152.0,0.24430,37.21,CCA,charged_tariff,direct,sdge_electric_2025-06-03.pdf,printed on 4/29/25 - 5/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-06-03,4/29/25 - 5/28/25,winter,off_peak,-289.0,0.15782,-45.62,CCA,charged_tariff,direct,sdge_electric_2025-06-03.pdf,printed on 4/29/25 - 5/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-06-03,4/29/25 - 5/28/25,winter,super_off_peak,1029.0,0.05187,53.35,CCA,charged_tariff,direct,sdge_electric_2025-06-03.pdf,printed on 4/29/25 - 5/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-06-03,4/29/25 - 5/28/25,,clean_impact_plus,892.0,0.00100,0.89,CCA,charged_tariff,direct,sdge_electric_2025-06-03.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-06-03,4/29/25 - 5/28/25,,state_surcharge_tax,,,0.27,CCA,charged_fee,direct,sdge_electric_2025-06-03.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-06-03,4/29/25 - 5/28/25,,total_printed,,,46.10,CCA,charged_total,direct,sdge_electric_2025-06-03.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($46.10) with a diff of $+0.00"
2025-07-02,5/29/25 - 6/26/25,winter,on_peak,22.0,0.24430,5.28,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,winter,off_peak,13.0,0.15782,1.98,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,winter,super_off_peak,136.0,0.05187,7.07,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,summer,on_peak,187.0,0.51684,96.86,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,summer,off_peak,-165.0,0.15975,-26.32,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,summer,super_off_peak,925.0,0.04961,45.88,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,printed on 5/29/25 - 6/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-07-02,5/29/25 - 6/26/25,,clean_impact_plus,1118.0,0.00100,1.12,CCA,charged_tariff,direct,sdge_electric_2025-07-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-07-02,5/29/25 - 6/26/25,,state_surcharge_tax,,,0.34,CCA,charged_fee,direct,sdge_electric_2025-07-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-07-02,5/29/25 - 6/26/25,,total_printed,,,132.21,CCA,charged_total,direct,sdge_electric_2025-07-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($132.21) with a diff of $+0.00"
2025-08-01,6/27/25 - 7/28/25,summer,on_peak,272.0,0.51684,140.60,CCA,charged_tariff,direct,sdge_electric_2025-08-01.pdf,printed on 6/27/25 - 7/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-08-01,6/27/25 - 7/28/25,summer,off_peak,-329.0,0.15975,-52.51,CCA,charged_tariff,direct,sdge_electric_2025-08-01.pdf,printed on 6/27/25 - 7/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-08-01,6/27/25 - 7/28/25,summer,super_off_peak,863.0,0.04961,42.83,CCA,charged_tariff,direct,sdge_electric_2025-08-01.pdf,printed on 6/27/25 - 7/28/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-08-01,6/27/25 - 7/28/25,,clean_impact_plus,807.0,0.00100,0.81,CCA,charged_tariff,direct,sdge_electric_2025-08-01.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-08-01,6/27/25 - 7/28/25,,state_surcharge_tax,,,0.24,CCA,charged_fee,direct,sdge_electric_2025-08-01.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-08-01,6/27/25 - 7/28/25,,total_printed,,,131.97,CCA,charged_total,direct,sdge_electric_2025-08-01.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($131.97) with a diff of $+0.00"
2025-09-02,7/29/25 - 8/26/25,summer,on_peak,371.0,0.51684,191.69,CCA,charged_tariff,direct,sdge_electric_2025-09-02.pdf,printed on 7/29/25 - 8/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-09-02,7/29/25 - 8/26/25,summer,off_peak,-165.0,0.15975,-26.43,CCA,charged_tariff,direct,sdge_electric_2025-09-02.pdf,printed on 7/29/25 - 8/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-09-02,7/29/25 - 8/26/25,summer,super_off_peak,1129.0,0.04961,56.03,CCA,charged_tariff,direct,sdge_electric_2025-09-02.pdf,printed on 7/29/25 - 8/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-09-02,7/29/25 - 8/26/25,,clean_impact_plus,1335.0,0.00100,1.33,CCA,charged_tariff,direct,sdge_electric_2025-09-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-09-02,7/29/25 - 8/26/25,,state_surcharge_tax,,,0.40,CCA,charged_fee,direct,sdge_electric_2025-09-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-09-02,7/29/25 - 8/26/25,,total_printed,,,223.02,CCA,charged_total,direct,sdge_electric_2025-09-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($223.02) with a diff of $+0.00"
2025-10-01,8/27/25 - 9/25/25,summer,on_peak,500.0,0.51684,258.30,CCA,charged_tariff,direct,sdge_electric_2025-10-01.pdf,printed on 8/27/25 - 9/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-01,8/27/25 - 9/25/25,summer,off_peak,-82.0,0.15975,-13.10,CCA,charged_tariff,direct,sdge_electric_2025-10-01.pdf,printed on 8/27/25 - 9/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-01,8/27/25 - 9/25/25,summer,super_off_peak,1379.0,0.04961,68.43,CCA,charged_tariff,direct,sdge_electric_2025-10-01.pdf,printed on 8/27/25 - 9/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-01,8/27/25 - 9/25/25,,clean_impact_plus,1797.0,0.00100,1.80,CCA,charged_tariff,direct,sdge_electric_2025-10-01.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-10-01,8/27/25 - 9/25/25,,state_surcharge_tax,,,0.54,CCA,charged_fee,direct,sdge_electric_2025-10-01.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-10-01,8/27/25 - 9/25/25,,total_printed,,,315.97,CCA,charged_total,direct,sdge_electric_2025-10-01.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($315.97) with a diff of $+0.00"
2025-10-31,9/26/25 - 9/30/25,summer,on_peak,56.0,0.51684,29.01,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 9/26/25 - 9/30/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,9/26/25 - 9/30/25,summer,off_peak,-3.0,0.15975,-0.49,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 9/26/25 - 9/30/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,9/26/25 - 9/30/25,summer,super_off_peak,171.0,0.04961,8.47,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 9/26/25 - 9/30/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,9/26/25 - 9/30/25,,clean_impact_plus,224.0,0.00100,0.22,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-10-31,9/26/25 - 9/30/25,,state_surcharge_tax,,,0.07,CCA,charged_fee,direct,sdge_electric_2025-10-31.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-10-31,9/26/25 - 9/30/25,,total_printed,,,37.28,CCA,charged_total,direct,sdge_electric_2025-10-31.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($37.28) with a diff of $+0.00"
2025-10-31,10/1/25 - 10/27/25,summer,on_peak,318.0,0.51684,164.59,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 10/1/25 - 10/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,10/1/25 - 10/27/25,summer,off_peak,-140.0,0.15975,-22.43,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 10/1/25 - 10/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,10/1/25 - 10/27/25,summer,super_off_peak,1026.0,0.04961,50.92,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,printed on 10/1/25 - 10/27/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-10-31,10/1/25 - 10/27/25,,clean_impact_plus,1204.0,0.00100,1.20,CCA,charged_tariff,direct,sdge_electric_2025-10-31.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-10-31,10/1/25 - 10/27/25,,state_surcharge_tax,,,0.36,CCA,charged_fee,direct,sdge_electric_2025-10-31.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-10-31,10/1/25 - 10/27/25,,total_printed,,,194.64,CCA,charged_total,direct,sdge_electric_2025-10-31.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($194.64) with a diff of $+0.00"
2025-12-03,10/28/25 - 11/25/25,winter,on_peak,260.0,0.24430,63.51,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,winter,off_peak,-180.0,0.15782,-28.47,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,winter,super_off_peak,752.0,0.05187,38.99,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,summer,on_peak,62.0,0.51684,32.18,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,summer,off_peak,-43.0,0.15975,-6.95,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,summer,super_off_peak,151.0,0.04961,7.47,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,printed on 10/28/25 - 11/25/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2025-12-03,10/28/25 - 11/25/25,,clean_impact_plus,1001.0,0.00100,1.00,CCA,charged_tariff,direct,sdge_electric_2025-12-03.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2025-12-03,10/28/25 - 11/25/25,,state_surcharge_tax,,,0.30,CCA,charged_fee,direct,sdge_electric_2025-12-03.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2025-12-03,10/28/25 - 11/25/25,,total_printed,,,108.03,CCA,charged_total,direct,sdge_electric_2025-12-03.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($108.03) with a diff of $+0.00"
2026-01-06,11/26/25 - 12/26/25,winter,on_peak,210.0,0.24430,51.34,CCA,charged_tariff,direct,sdge_electric_2026-01-06.pdf,printed on 11/26/25 - 12/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-01-06,11/26/25 - 12/26/25,winter,off_peak,-169.0,0.15782,-26.70,CCA,charged_tariff,direct,sdge_electric_2026-01-06.pdf,printed on 11/26/25 - 12/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-01-06,11/26/25 - 12/26/25,winter,super_off_peak,1111.0,0.05187,57.60,CCA,charged_tariff,direct,sdge_electric_2026-01-06.pdf,printed on 11/26/25 - 12/26/25; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-01-06,11/26/25 - 12/26/25,,clean_impact_plus,1151.0,0.00100,1.15,CCA,charged_tariff,direct,sdge_electric_2026-01-06.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2026-01-06,11/26/25 - 12/26/25,,state_surcharge_tax,,,0.35,CCA,charged_fee,direct,sdge_electric_2026-01-06.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2026-01-06,11/26/25 - 12/26/25,,total_printed,,,83.74,CCA,charged_total,direct,sdge_electric_2026-01-06.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($83.74) with a diff of $+0.00"
2026-02-02,12/27/25 - 1/27/26,winter,on_peak,283.0,0.24430,69.07,CCA,charged_tariff,direct,sdge_electric_2026-02-02.pdf,printed on 12/27/25 - 1/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-02-02,12/27/25 - 1/27/26,winter,off_peak,-29.0,0.15782,-4.56,CCA,charged_tariff,direct,sdge_electric_2026-02-02.pdf,printed on 12/27/25 - 1/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-02-02,12/27/25 - 1/27/26,winter,super_off_peak,929.0,0.05187,48.19,CCA,charged_tariff,direct,sdge_electric_2026-02-02.pdf,printed on 12/27/25 - 1/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-02-02,12/27/25 - 1/27/26,,clean_impact_plus,1183.0,0.00100,1.18,CCA,charged_tariff,direct,sdge_electric_2026-02-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2026-02-02,12/27/25 - 1/27/26,,state_surcharge_tax,,,0.35,CCA,charged_fee,direct,sdge_electric_2026-02-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2026-02-02,12/27/25 - 1/27/26,,total_printed,,,114.23,CCA,charged_total,direct,sdge_electric_2026-02-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($114.23) with a diff of $+0.00"
2026-03-04,1/28/26 - 2/26/26,winter,on_peak,199.0,0.24430,48.49,CCA,charged_tariff,direct,sdge_electric_2026-03-04.pdf,printed on 1/28/26 - 2/26/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-03-04,1/28/26 - 2/26/26,winter,off_peak,-293.0,0.15782,-46.18,CCA,charged_tariff,direct,sdge_electric_2026-03-04.pdf,printed on 1/28/26 - 2/26/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-03-04,1/28/26 - 2/26/26,winter,super_off_peak,1028.0,0.05187,53.30,CCA,charged_tariff,direct,sdge_electric_2026-03-04.pdf,printed on 1/28/26 - 2/26/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-03-04,1/28/26 - 2/26/26,,clean_impact_plus,933.0,0.00100,0.93,CCA,charged_tariff,direct,sdge_electric_2026-03-04.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2026-03-04,1/28/26 - 2/26/26,,state_surcharge_tax,,,0.28,CCA,charged_fee,direct,sdge_electric_2026-03-04.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2026-03-04,1/28/26 - 2/26/26,,total_printed,,,56.82,CCA,charged_total,direct,sdge_electric_2026-03-04.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($56.82) with a diff of $+0.00"
2026-04-02,2/27/26 - 3/27/26,winter,on_peak,198.0,0.24430,48.40,CCA,charged_tariff,direct,sdge_electric_2026-04-02.pdf,printed on 2/27/26 - 3/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-04-02,2/27/26 - 3/27/26,winter,off_peak,85.0,0.15782,13.44,CCA,charged_tariff,direct,sdge_electric_2026-04-02.pdf,printed on 2/27/26 - 3/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-04-02,2/27/26 - 3/27/26,winter,super_off_peak,534.0,0.05187,27.69,CCA,charged_tariff,direct,sdge_electric_2026-04-02.pdf,printed on 2/27/26 - 3/27/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-04-02,2/27/26 - 3/27/26,,clean_impact_plus,817.0,0.00100,0.82,CCA,charged_tariff,direct,sdge_electric_2026-04-02.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2026-04-02,2/27/26 - 3/27/26,,state_surcharge_tax,,,0.25,CCA,charged_fee,direct,sdge_electric_2026-04-02.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
2026-04-02,2/27/26 - 3/27/26,,total_printed,,,90.60,CCA,charged_total,direct,sdge_electric_2026-04-02.pdf,"sum of the per-TOU cells and adders above, to the cent; reconciles to data/bill_periods_electric.csv's cca_generation ($90.60) with a diff of $+0.00"
2026-05-04,3/28/26 - 4/28/26,winter,on_peak,209.0,0.24430,51.01,CCA,charged_tariff,direct,sdge_electric_2026-05-04.pdf,printed on 3/28/26 - 4/28/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-05-04,3/28/26 - 4/28/26,winter,off_peak,18.0,0.15782,2.91,CCA,charged_tariff,direct,sdge_electric_2026-05-04.pdf,printed on 3/28/26 - 4/28/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-05-04,3/28/26 - 4/28/26,winter,super_off_peak,638.0,0.05187,33.08,CCA,charged_tariff,direct,sdge_electric_2026-05-04.pdf,printed on 3/28/26 - 4/28/26; kWh x rate reproduces the printed amount only to within CEA's half-kWh unrounding tolerance
2026-05-04,3/28/26 - 4/28/26,,clean_impact_plus,865.0,0.00100,0.86,CCA,charged_tariff,direct,sdge_electric_2026-05-04.pdf,"CEA's own per-kWh product adder; printed kWh base does not exactly equal bill_periods_electric.csv's net_kwh for this period (undisclosed by the statement) -- recorded as printed, not reconciled to net_kwh"
2026-05-04,3/28/26 - 4/28/26,,state_surcharge_tax,,,0.26,CCA,charged_fee,direct,sdge_electric_2026-05-04.pdf,"a flat per-period surcharge printed as a dollar amount only, not a per-kWh rate"
